Resort ID,NameResort
600,gsahl-hauenstein-ifenthal
601,gspon-staldenried
602,guarda
603,gurnigelbad
604,gurten-bern
605,guttannen
606,habkern-sattelegg
607,haldigrat
608,hapfere-plaffeien
609,haut-de-caux
610,heidbodme-saas-almagell
611,heiden-bischofsberg
612,heiligkreuz-first-entlebuch
613,heimenschwand-buchholterberg
614,heiti-gsteig-bei-gstaad
615,hemberg
616,hoernli-hemberg-baechli
617,hohe-winde-beinwil
618,hohwald-beatenberg-waldegg
619,holderbank-skilift-engi
620,homberg
621,horben-lindenberg
622,hubelweid-heiligenschwendi
623,jaunpass-boltigen
624,jeizinen-feselalp-gampelsteg
625,kerenzerberg-filzbach
626,kiental
627,la-brevine
628,la-chia-bulle
629,la-corbatiere-la-roche-aux-crocs
630,la-cote-aux-fees
631,la-forclaz
632,la-golatte-smontoz-tavannes
633,la-lorette-bourg-saint-pierre
634,la-sagne
635,la-trelasse
636,la-vue-des-alpes-fontaines-les-gollieres
637,labbaye
638,langenbruck-untereobere-wanne
639,langmattli-hergiswil
640,lantschlenz
641,lauenen
642,le-brassus
643,le-cerneux-pequignot
644,le-chaluet-court
645,le-paquier-cret-du-puy
646,lent
647,les-breuleux
648,les-genevez
649,les-hauderes-lhomazo
650,les-orvales-malleray
651,les-paccotschatel-st-denis-corbetta
652,les-paccotsgranges-mont-chesau
653,les-pleiades
654,les-pres-dorvin
655,les-prevondes
656,les-rasses-sainte-croix
657,les-verrieres
658,linden-schindelberg
659,lommiswil-bitzirain
660,lorient
661,lucky-aeschi
662,lueina-airolo
663,mammern-klingenzell
664,minschuns-val-muestair-tschierv
665,moerlialp-giswil
666,mogno
667,mont-gibloux
668,muenster-geschinen
669,muesella-la-punt
670,mugi-netstal
671,mutten
672,naetschen-andermatt
673,neusell-rothenthurm-biberegg
674,niederhorn-beatenberg
675,nods
676,nollen-hosenruck-wuppenau
677,nollen-unteraegeri
678,norro-lift-adelboden
679,nunningen
680,oberegg-skilift-st-anton
681,oberhelfenschwil
682,oberholz-farner
683,oberiberg
684,oberwangen
685,orgevauxles-avants
686,ottenleue-sangernboden
687,pany-luzein
688,pian-cales-san-bernardino
689,pian-san-giacomo
690,pischa-davos-klosters
691,plagne
692,prato-leventina
693,randa
694,raten-oberaegeri
695,rathvel-chatel-st-denis
696,realp
697,reckingen-gluringen
698,regensberg-erlenhof-im-buck
699,rellerli-schoenried
700,renan
701,riffenmatt-winterpark
702,rigi
703,rigi-scheideggburggeist
704,rochers-de-naye-montreux
705,rossa
706,rossberg-oberwil
707,rosswald-brig
708,rotberg-villigen
709,rothwaldwasenalp-simplon-pass
710,rueegsau
711,rueschegg-eywald-lischboden
712,saalhoehe
713,saas-balen
714,saentis-schwaegalp
715,saint-george
716,saint-imier-mont-soleil
717,samedan
